model_type,prompt_idx,seed,clipscore
base,0,42,0.0
base,0,1337,0.0
base,0,2025,0.0
base,1,42,0.0
base,1,1337,0.0
base,1,2025,0.0
base,2,42,0.0
base,2,1337,0.0
base,2,2025,0.0
base,3,42,0.0
base,3,1337,0.0
base,3,2025,0.0
base,4,42,0.0
base,4,1337,0.0
base,4,2025,0.0
base,5,42,0.0
base,5,1337,0.0
base,5,2025,0.0
base,6,42,0.0
base,6,1337,0.0
base,6,2025,0.0
base,7,42,0.0
base,7,1337,0.0
base,7,2025,0.0
base,8,42,0.0
base,8,1337,0.0
base,8,2025,0.0
base,9,42,0.0
base,9,1337,0.0
base,9,2025,0.0
base,10,42,0.0
base,10,1337,0.0
base,10,2025,0.0
base,11,42,0.0
base,11,1337,0.0
base,11,2025,0.0
base,12,42,0.0
base,12,1337,0.0
base,12,2025,0.0
base,13,42,0.0
base,13,1337,0.0
base,13,2025,0.0
base,14,42,0.0
base,14,1337,0.0
base,14,2025,0.0
base,15,42,0.0
base,15,1337,0.0
base,15,2025,0.0
dmd,0,42,0.0
dmd,0,1337,0.0
dmd,0,2025,0.0
dmd,1,42,0.0
dmd,1,1337,0.0
dmd,1,2025,0.0
dmd,2,42,0.0
dmd,2,1337,0.0
dmd,2,2025,0.0
dmd,3,42,0.0
dmd,3,1337,0.0
dmd,3,2025,0.0
dmd,4,42,0.0
dmd,4,1337,0.0
dmd,4,2025,0.0
dmd,5,42,0.0
dmd,5,1337,0.0
dmd,5,2025,0.0
dmd,6,42,0.0
dmd,6,1337,0.0
dmd,6,2025,0.0
dmd,7,42,0.0
dmd,7,1337,0.0
dmd,7,2025,0.0
dmd,8,42,0.0
dmd,8,1337,0.0
dmd,8,2025,0.0
dmd,9,42,0.0
dmd,9,1337,0.0
dmd,9,2025,0.0
dmd,10,42,0.0
dmd,10,1337,0.0
dmd,10,2025,0.0
dmd,11,42,0.0
dmd,11,1337,0.0
dmd,11,2025,0.0
dmd,12,42,0.0
dmd,12,1337,0.0
dmd,12,2025,0.0
dmd,13,42,0.0
dmd,13,1337,0.0
dmd,13,2025,0.0
dmd,14,42,0.0
dmd,14,1337,0.0
dmd,14,2025,0.0
dmd,15,42,0.0
dmd,15,1337,0.0
dmd,15,2025,0.0
hyper,0,42,0.0
hyper,0,1337,0.0
hyper,0,2025,0.0
hyper,1,42,0.0
hyper,1,1337,0.0
hyper,1,2025,0.0
hyper,2,42,0.0
hyper,2,1337,0.0
hyper,2,2025,0.0
hyper,3,42,0.0
hyper,3,1337,0.0
hyper,3,2025,0.0
hyper,4,42,0.0
hyper,4,1337,0.0
hyper,4,2025,0.0
hyper,5,42,0.0
hyper,5,1337,0.0
hyper,5,2025,0.0
hyper,6,42,0.0
hyper,6,1337,0.0
hyper,6,2025,0.0
hyper,7,42,0.0
hyper,7,1337,0.0
hyper,7,2025,0.0
hyper,8,42,0.0
hyper,8,1337,0.0
hyper,8,2025,0.0
hyper,9,42,0.0
hyper,9,1337,0.0
hyper,9,2025,0.0
hyper,10,42,0.0
hyper,10,1337,0.0
hyper,10,2025,0.0
hyper,11,42,0.0
hyper,11,1337,0.0
hyper,11,2025,0.0
hyper,12,42,0.0
hyper,12,1337,0.0
hyper,12,2025,0.0
hyper,13,42,0.0
hyper,13,1337,0.0
hyper,13,2025,0.0
hyper,14,42,0.0
hyper,14,1337,0.0
hyper,14,2025,0.0
hyper,15,42,0.0
hyper,15,1337,0.0
hyper,15,2025,0.0
lcm,0,42,0.0
lcm,0,1337,0.0
lcm,0,2025,0.0
lcm,1,42,0.0
lcm,1,1337,0.0
lcm,1,2025,0.0
lcm,2,42,0.0
lcm,2,1337,0.0
lcm,2,2025,0.0
lcm,3,42,0.0
lcm,3,1337,0.0
lcm,3,2025,0.0
lcm,4,42,0.0
lcm,4,1337,0.0
lcm,4,2025,0.0
lcm,5,42,0.0
lcm,5,1337,0.0
lcm,5,2025,0.0
lcm,6,42,0.0
lcm,6,1337,0.0
lcm,6,2025,0.0
lcm,7,42,0.0
lcm,7,1337,0.0
lcm,7,2025,0.0
lcm,8,42,0.0
lcm,8,1337,0.0
lcm,8,2025,0.0
lcm,9,42,0.0
lcm,9,1337,0.0
lcm,9,2025,0.0
lcm,10,42,0.0
lcm,10,1337,0.0
lcm,10,2025,0.0
lcm,11,42,0.0
lcm,11,1337,0.0
lcm,11,2025,0.0
lcm,12,42,0.0
lcm,12,1337,0.0
lcm,12,2025,0.0
lcm,13,42,0.0
lcm,13,1337,0.0
lcm,13,2025,0.0
lcm,14,42,0.0
lcm,14,1337,0.0
lcm,14,2025,0.0
lcm,15,42,0.0
lcm,15,1337,0.0
lcm,15,2025,0.0
lightning,0,42,0.0
lightning,0,1337,0.0
lightning,0,2025,0.0
lightning,1,42,0.0
lightning,1,1337,0.0
lightning,1,2025,0.0
lightning,2,42,0.0
lightning,2,1337,0.0
lightning,2,2025,0.0
lightning,3,42,0.0
lightning,3,1337,0.0
lightning,3,2025,0.0
lightning,4,42,0.0
lightning,4,1337,0.0
lightning,4,2025,0.0
lightning,5,42,0.0
lightning,5,1337,0.0
lightning,5,2025,0.0
lightning,6,42,0.0
lightning,6,1337,0.0
lightning,6,2025,0.0
lightning,7,42,0.0
lightning,7,1337,0.0
lightning,7,2025,0.0
lightning,8,42,0.0
lightning,8,1337,0.0
lightning,8,2025,0.0
lightning,9,42,0.0
lightning,9,1337,0.0
lightning,9,2025,0.0
lightning,10,42,0.0
lightning,10,1337,0.0
lightning,10,2025,0.0
lightning,11,42,0.0
lightning,11,1337,0.0
lightning,11,2025,0.0
lightning,12,42,0.0
lightning,12,1337,0.0
lightning,12,2025,0.0
lightning,13,42,0.0
lightning,13,1337,0.0
lightning,13,2025,0.0
lightning,14,42,0.0
lightning,14,1337,0.0
lightning,14,2025,0.0
lightning,15,42,0.0
lightning,15,1337,0.0
lightning,15,2025,0.0
pcm,0,42,0.0
pcm,0,1337,0.0
pcm,0,2025,0.0
pcm,1,42,0.0
pcm,1,1337,0.0
pcm,1,2025,0.0
pcm,2,42,0.0
pcm,2,1337,0.0
pcm,2,2025,0.0
pcm,3,42,0.0
pcm,3,1337,0.0
pcm,3,2025,0.0
pcm,4,42,0.0
pcm,4,1337,0.0
pcm,4,2025,0.0
pcm,5,42,0.0
pcm,5,1337,0.0
pcm,5,2025,0.0
pcm,6,42,0.0
pcm,6,1337,0.0
pcm,6,2025,0.0
pcm,7,42,0.0
pcm,7,1337,0.0
pcm,7,2025,0.0
pcm,8,42,0.0
pcm,8,1337,0.0
pcm,8,2025,0.0
pcm,9,42,0.0
pcm,9,1337,0.0
pcm,9,2025,0.0
pcm,10,42,0.0
pcm,10,1337,0.0
pcm,10,2025,0.0
pcm,11,42,0.0
pcm,11,1337,0.0
pcm,11,2025,0.0
pcm,12,42,0.0
pcm,12,1337,0.0
pcm,12,2025,0.0
pcm,13,42,0.0
pcm,13,1337,0.0
pcm,13,2025,0.0
pcm,14,42,0.0
pcm,14,1337,0.0
pcm,14,2025,0.0
pcm,15,42,0.0
pcm,15,1337,0.0
pcm,15,2025,0.0
turbo,0,42,0.0
turbo,0,1337,0.0
turbo,0,2025,0.0
turbo,1,42,0.0
turbo,1,1337,0.0
turbo,1,2025,0.0
turbo,2,42,0.0
turbo,2,1337,0.0
turbo,2,2025,0.0
turbo,3,42,0.0
turbo,3,1337,0.0
turbo,3,2025,0.0
turbo,4,42,0.0
turbo,4,1337,0.0
turbo,4,2025,0.0
turbo,5,42,0.0
turbo,5,1337,0.0
turbo,5,2025,0.0
turbo,6,42,0.0
turbo,6,1337,0.0
turbo,6,2025,0.0
turbo,7,42,0.0
turbo,7,1337,0.0
turbo,7,2025,0.0
turbo,8,42,0.0
turbo,8,1337,0.0
turbo,8,2025,0.0
turbo,9,42,0.0
turbo,9,1337,0.0
turbo,9,2025,0.0
turbo,10,42,0.0
turbo,10,1337,0.0
turbo,10,2025,0.0
turbo,11,42,0.0
turbo,11,1337,0.0
turbo,11,2025,0.0
turbo,12,42,0.0
turbo,12,1337,0.0
turbo,12,2025,0.0
turbo,13,42,0.0
turbo,13,1337,0.0
turbo,13,2025,0.0
turbo,14,42,0.0
turbo,14,1337,0.0
turbo,14,2025,0.0
turbo,15,42,0.0
turbo,15,1337,0.0
turbo,15,2025,0.0
